user_id,cluster,rec_score
0,5,5.0
0,6,5.0
0,9,5.0
0,16,5.0
0,24,5.0
0,27,5.0
0,32,5.0
0,35,5.0
0,36,5.0
0,40,5.0
0,43,5.0
0,44,5.0
1,5,5.0
1,6,5.0
1,9,5.0
1,16,5.0
1,24,5.0
1,27,5.0
1,32,5.0
1,35,5.0
1,36,5.0
1,40,5.0
1,43,5.0
1,44,5.0
2,5,5.0
2,6,5.0
2,9,5.0
2,16,5.0
2,24,5.0
2,27,5.0
2,32,5.0
2,35,5.0
2,36,5.0
2,40,5.0
2,44,5.0
3,5,4.999998738014736
3,6,4.999999998923326
3,9,4.999999999930132
3,16,4.999998738402382
3,24,4.9999999987890265
3,27,4.999999998789051
3,32,3.5999987389698407
3,35,4.99999873869978
3,36,4.999998739096504
3,43,3.599998737561997
3,44,4.999998737916614
4,9,5.0
4,16,5.0
4,36,5.0
4,43,5.0
4,44,5.0
5,5,5.0
5,6,5.0
5,9,5.0
5,16,5.0
5,27,5.0
5,32,5.0
5,35,5.0
5,36,5.0
5,43,5.0
5,44,5.0
6,5,4.999999998941358
6,9,4.999999998940844
6,16,4.999999998940294
6,27,4.999999998941128
6,32,4.999999998940405
6,35,4.999999999999997
6,43,4.99999999893995
7,5,4.999999999999997
7,6,4.999999999999997
7,9,4.999999999999997
7,16,4.999999999999997
7,32,4.999999999999997
7,36,4.999999999999997
7,44,4.999999999999997
8,5,4.999999999999992
8,9,4.999999999999992
8,16,4.999999999999992
8,24,4.999999999999997
8,27,4.999999999999992
8,32,4.999999999999992
8,36,4.999999999999997
8,43,4.999999999999992
8,44,4.999999999999992
9,5,4.999999999999997
9,6,4.999999999999997
9,16,4.999999999999997
9,24,4.999999999999997
9,32,4.999999999999997
9,44,4.999999999999997
10,5,4.999999900961583
10,6,4.999999900996812
10,9,4.999999996898548
10,16,4.999999900797355
10,24,4.999996753476862
10,27,4.999999900964779
10,32,4.999999900971831
10,35,4.999999900970463
10,36,4.99999990099206
10,43,4.999999900800364
10,44,4.999999900967702
11,5,4.9999999999999964
11,6,4.9999999999999964
11,9,4.999999999999997
11,16,4.9999999999999964
11,24,4.9999999999999964
11,27,4.9999999999999964
11,32,4.9999999999999964
11,35,4.999999999999997
11,36,4.999999999999997
11,40,4.9999999999999964
11,43,4.9999999999999964
12,16,4.999999999999997
13,5,4.999999999999997
13,6,4.999999999999997
13,9,3.99778919832305
13,16,4.997788129587432
13,32,4.999999999999997
13,36,4.999999999999997
13,43,4.999999999999997
13,44,4.999999999999997
14,5,4.999999999999997
14,9,4.999999999999997
14,16,4.999999999999997
14,27,4.999999999999997
14,32,4.999999999999997
14,35,4.999999999999997
14,36,4.999999999999997
14,40,4.999999999999997
15,5,4.999994711740922
15,6,4.999994709872877
15,9,4.999994694335459
15,16,4.999994714400671
15,24,4.9999999999999964
15,27,3.399994709424609
15,32,4.9999999999999964
15,35,3.3999946950569595
15,36,4.9999999999999964
15,40,4.9999999999999964
15,43,4.9999999999999964
15,44,3.399994695615378
16,5,4.999999999999997
16,36,4.999999999999997
16,43,4.999999999999997
17,5,4.999999999999997
17,6,4.999999999999997
17,9,4.999999999999997
17,16,4.999999999999997
17,24,4.999999999999997
17,27,4.999999999999997
17,32,4.999999999999997
17,43,4.999999999999997
18,6,4.999999999999997
18,16,4.999999999999997
18,24,4.999999999999997
18,27,4.999999999999997
18,40,4.999999999999997
18,43,4.999999999999997
19,5,4.999812247913142
19,6,2.599814327215543
19,9,4.999812521902806
19,16,2.5998123950860723
19,24,4.99981211207781
19,32,4.999812985293467
19,35,2.5998123336048793
19,40,3.666479529737244
19,43,3.6664810537895995
19,44,3.666478813862992
20,9,4.999999999999997
21,5,4.999999999999993
21,6,4.999999999999993
21,16,4.999999999999993
21,27,4.999999999999997
21,32,4.999999999999997
21,35,4.999999999999997
21,36,4.999999999999993
21,44,4.999999999999993
22,5,4.999999999999997
22,6,4.999999999999997
22,9,4.999999999999997
22,16,4.999999999999997
22,32,4.999999999999997
22,35,4.999999999999997
22,44,4.999999999999997
23,6,4.999999999999997
23,16,4.999999999999997
23,27,4.999999999999997
23,32,4.999999999999997
23,35,4.999999999999997
23,36,4.999999999999997
23,40,4.999999999999997
23,44,4.999999999999997
24,5,4.999999999999997
24,16,4.999999999999997
24,24,4.999999999999997
24,35,4.999999999999997
24,36,4.999999999999997
24,44,4.999999999999997
25,6,4.999999999999997
25,32,4.999999999999997
25,35,4.999999999999997
25,44,4.999999999999997
26,6,4.666650558063589
26,16,4.999994503519192
26,24,4.666650561347743
26,27,4.999999999999997
26,35,4.999994501450746
26,36,4.999999999999997
26,44,4.666650559451828
27,5,4.999999999999997
27,6,4.999999999999997
27,9,4.999999999999997
27,16,4.999999999999997
27,27,4.999999999999997
27,43,4.999999999999997
28,32,4.999999999999997
29,6,4.999999999999997
29,44,4.999999999997034
30,5,4.999999999999997
30,9,4.999999999999997
30,24,4.999999999999997
30,32,4.999999999999997
30,43,4.999999999999997
30,44,4.999999999999997
31,5,4.999999999999997
31,6,4.999999999999997
31,24,4.999999999999997
31,27,4.999999999999997
31,32,4.999999999999997
32,16,4.999999999999997
32,27,4.999999999999997
32,32,4.999999999999997
32,44,4.999999999999997
33,6,4.999999999999997
33,16,4.999999999999997
33,24,4.999999999999997
33,27,4.999999999999997
33,32,4.999999999999997
33,43,4.999999999999997
33,44,4.999999999999997
34,0,2.3993576726214254
34,3,2.5997945033172236
34,5,4.999999999999993
34,6,4.9999999999999964
34,8,4.999797140228755
34,9,4.999999999999993
34,10,2.599794775353838
34,11,1.5655145673029969
34,13,2.39936042243641
34,16,4.999999999995582
34,17,3.3999939910333374
34,21,2.599857250330176
34,22,2.5998567912597816
34,24,4.9999999999999964
34,25,4.994094135520224
34,27,4.9999999999999964
34,28,3.199983590880055
34,30,4.999993814559502
34,31,3.399993885761959
34,32,4.999999999999993
34,33,4.9997973596275775
34,34,2.599794295698471
34,35,4.999999999999993
34,36,4.9999999999999964
34,37,2.5997952174907217
34,38,4.999993828041744
34,39,2.599856481303717
34,40,4.9999999999999964
34,41,2.599856507873797
34,43,4.999999999995592
34,44,4.9999999999999964
34,45,1.5655447531619229
34,46,2.5997933933433375
34,47,3.3999939015404346
35,5,4.999999992296275
35,6,4.199999934669195
35,9,4.9999999346101065
35,16,4.999999992282997
35,24,4.199999934644924
35,27,4.199999934660134
35,32,4.5999999922795745
35,35,4.999999992409506
35,36,4.9999999922857
35,40,4.999999992291695
35,43,4.999999992283863
35,44,4.9999999922995375
36,16,4.999999999999997
36,24,4.999999999999997
36,35,4.999999999999997
36,36,4.999999999999997
36,44,4.999999999999997
37,35,4.999999999999997
38,3,4.999999998062689
